Content,Type
Ok.ok ok..then..whats ur todays plan,safe
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!",safe
nutrimedi.mx/remax/index.htm,safe
Can come my room but cannot come my house cos my house still messy... Haha...,safe
moviemusic.com/soundtrack/M07082/limitsofcontrol/,safe
eurekalert.org/pub_releases/2009-11/ncsu-rhn111309.php,safe
U having lunch alone? I now so bored...,safe
girlgaggerfan.deviantart.com/,safe
home.swipnet.se/~w-13090/,harmful
music.aol.com/song/your-old-lady/69967,safe
If I was I wasn't paying attention,safe
wikiworldbook.com/global-address-book/Gwen-Dudek,safe
I've reached already.,safe
http://thenextweb.com/insider/2015/04/30/news-tech-scene-eastern-europe-shouldnt-miss-april/gtm.start,safe
I have to take exam with in march 3,safe
pascalcampion.blogspot.com/,safe
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,safe
U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,safe
Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,safe
Im good! I have been thinking about you...,safe
amazon.com/Seasoned-Veteran-Vinyl-Richie-Rich/dp/B0000024LP,safe
artsalive.ca/en/dan/meet/bios/artistDetail.asp?artistID=140,safe
http://www.filimited.co.uk/index.php?fontstyle=f-smaller,harmful
findarticles.com/p/articles/mi_m0EIN/is_20100112/ai_n46777306/,safe
formulatours.com/,safe
blockbuster.com/browse/catalog/personDetails/35134,safe
encyclopedia2.thefreedictionary.com/Kanun,safe
I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,safe
Wat time r ü going to xin's hostel?,safe
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,harmful
Its hard to believe things like this. All can say lie but think twice before saying anything to me.,safe
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,safe
http://abc.go.com/shows/jimmy-kimmel-live/episode-guide/2015-02/04-interview-and-music-from-jeff-bridges-lauren-cohan,safe
Hhahhaahahah rofl wtf nig was leonardo in your room or something,safe
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,safe
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",harmful
Is there coming friday is leave for pongal?do you get any news from your work place.,safe
R ü going 4 today's meeting?,safe
Ok i am on the way to railway,safe
http://mic.com/articles/115464/wonder-woman-losing-its-director-reveals-hollywood-s-problem-with-female-filmmakers,safe
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,safe
"Yo, the game almost over? Want to go to walmart soon",safe
metalunderground.com/news/details.cfm?newsid=73401,safe
Yup... From what i remb... I think should be can book...,safe
I am going to sao mu today. Will be done only at 12,safe
familytreemaker.genealogy.com/users/d/o/u/Robert-E-Douglas/GENE17-0016.html,safe
http://www.rerte.com.cn/js/index.htm?http://us.battle.net/login/en/?ref=http://us.battle.net/d3/en/index&amp;app=com-d3,harmful
digital.lib.lehigh.edu/trial/reels/films/list/0_17,safe
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",harmful
wbjtoday.com/blog/hot-dog-vendors-wenatchee-food-wave/7031/,safe
quantumk.co.uk/,safe
fox8live.com/news/local/story/Kansas-City-police-to-re-interview-brothers-of/Z1QlW65nEEGgG1DuYOQqrw.cspx?rss=2085,safe
Wherre's my boytoy ? :-(,safe
"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",safe
seeklyrics.com/lyrics/The-Donnas/Rock-n-Roll-Machine.html,safe
wn.com/Category:Wesleyan_University_alumni,safe
bbmexplorer.blogspot.com/,safe
"That's cool, I'll come by like  &lt;#&gt; ish",safe
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,harmful
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,harmful
cwathletics.blogspot.com/,safe
rap.about.com/od/labels/Labels.htm,safe
reunion.com/teresabudd/,safe
htmlwebtips.com/loans/owner-and-driver-scott-tucker-has-his-60th-win-the-first-of-many-yet-to-come/,safe
sec.was.asu.edu/directory/directorysearch?cn=Brandt+Pryor,safe
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!",harmful
Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,safe
R we going with the  &lt;#&gt;  bus?,safe
"I didnt get ur full msg..sometext is missing, send it again",safe
How abt making some of the pics bigger?,safe
Id onluy matters when getting on from offcampus,safe
zetaphinupes.com/,safe
How are you. Just checking up on you,safe
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,safe
ebooks-library.com/author-list.cfm/Alpha/ALL,safe
"I'm not coming over, do whatever you want",safe
boxrec.com/media/index.php/James_J._Jeffries,safe
Please sen :)my kind advice :-)please come here and try:-),safe
youtube.com/watch?v=kLnfqwHKjnM,safe
You have 1 new voicemail. Please call 08719181513.,harmful
www.cnhedge.cn/js/index.htm?us.battle.net/login/en/?ref=hqbsehhus.battle.net/d3/en/index&amp;app=com-d3,safe
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,safe
majorgeeks.com/download4181.html,safe
gamerentalfreetrial.com/,safe
beckett.com/news/2010/03/how-hot-are-jason-heywards-baseball-cards/,safe
facebook.com/handmark?sk=wall,safe
blog.syracuse.com/parish/index.html,safe
youtube.com/watch?v=3sm4ToplanI,safe
btinternet.com/~ian.a.paterson/orgarmour.htm,safe
fromtheboards.wordpress.com/2011/05/17/the-shift-is-on-denneycoughlin-pair-up/,safe
Hi dude hw r u da realy mising u today,safe
Reckon need to be in town by eightish to walk from * carpark.,safe
123people.ca/s/teresa+gravelle,safe
campnelson.org/colored/colored.htm,safe
wit.edu/humanities/directory/directory-faculty.html,safe
Lol they don't know about my awesome phone. I could click delete right now if I want.,safe
Then ü come n pick me at 530 ar?,safe
Dont know you bring some food,safe
If you were/are free i can give. Otherwise nalla adi entey nattil kittum,safe
facebook.com/people/Anthony-Cornwall/1258731796,safe
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",safe
swapalop.com/overmaas.nl,safe
Wait  &lt;#&gt;  min..,safe
soccerway.com/national/england/fa-cup/,safe
contactmps.com/cgi-bin/BillGet.cgi,safe
When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,safe
www.zylights.com/img/?us.battle.net/login/en/?ref=knqsmofus.battle.net/d3/en/index&app=com-d3,safe
nfl.com/teams/coaches?coaType=head&team=NE,safe
Do u hav any frnd by name ashwini in ur college?,safe
"Haha awesome, omw back now then",safe
"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",safe
newswire.ca/en/story/803041/-r-e-p-e-a-t-installation-of-automated-gates-to-manage-the-centre-lane-on-the-jacques-cartier-bridge-on-the-south-approach-towards-montreal-starting-m,safe
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),safe
U still painting ur wall?,safe
Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,safe
#ERROR!,harmful
Just sleeping..and surfing,safe
ndt-cgi.com/,safe
www.resources.com/textile.htm,harmful
800padutch.com/,safe
makivik.org/makivik-corporation-and-the-kativik-regional-government-welcome-visit-of-minister-of-justice-yvon-marcoux-and-minister-for-native-affairs-for-quebec-geoffrey-kelley-to-nunavik/,safe
"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",safe
iautobodyparts.com/oldsmobile/88delta.html,safe
"Nah I don't think he goes to usf, he lives around here though",safe
facebook.com/pages/Saul-Bellow/44485196112,safe
dominic-von-riedemann.suite101.com/nine-old-men-wolfgang-reitherman-a53734,safe
usaolmessageboardrefugees.yuku.com/topic/271?page=24,safe
500 free text msgs. Just text ok to 80488 and we'll credit your account,harmful
But you dint in touch with me.,safe
pioneerbankandtrust.com/,safe
hancockforsenate.com/bio.html,safe
http://extratorrent.cc/torrent/4189643/The.Great.Chelsea.Garden.Challenge.S01E01.PDTV.x264-JIVE.mp4+%5Bimass%5D.html,safe
Yup i thk so until e shop closes lor.,safe
rollitup.org/medical-marijuana-news/302795-oaksterdam-university-housing.html,safe
http://buzzfil.net/article/5658/animaux/elle-a-ete-delaissee-dans-la-rue-regardez-sa-reaction-a-la-vue-des-sauveteurs-quelle-tristesse-9.html?href=inner_website,safe
homepages.rootsweb.ancestry.com/~lheureux/lh1/d0018/g0000025.html,safe
members.shaw.ca/vernonfranchise/league/cups/abbottcup.html,safe
museumstuff.com/learn/topics/Fellow_of_the_Royal_Society::sub::Coat_Of_Arms,safe
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,safe
"A few people are at the game, I'm at the mall with iouri and kaila",safe
census-online.us/view/LECOMPTE/,safe
http://cox.com/residential/support/tv/articles.cox?catId=p2_hdtv&catName=HDTV&prodId=p1_tv,safe
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,harmful
blurt-online.com/news/archive/2008/06/,safe
